観測地点番号, 区分, 地点名_漢字, 地点名_カタカナ, 都道府県名, 市町村区名, 施設名
47819, 福岡, 熊本, クマモト, 熊本県, 熊本市中央区, 熊本地方気象台
47822, 福岡, 延岡, ノベオカ, 宮崎県, 延岡市, 延岡特別地域気象観測所
47823, 福岡, 阿久根, アクネ, 鹿児島県, 阿久根市, 阿久根特別地域気象観測所
47824, 福岡, 人吉, ヒトヨシ, 熊本県, 人吉市, 人吉特別地域気象観測所
47827, 福岡, 鹿児島, カゴシマ, 鹿児島県, 鹿児島市, 鹿児島地方気象台
47829, 福岡, 都城, ミヤコノジョウ, 宮崎県, 都城市, 都城特別地域気象観測所
47830, 福岡, 宮崎, ミヤザキ, 宮崎県, 宮崎市, 宮崎地方気象台
47831, 福岡, 枕崎, マクラザキ, 鹿児島県, 枕崎市, 枕崎特別地域気象観測所
47835, 福岡, 油津, アブラツ, 宮崎県, 日南市, 油津特別地域気象観測所
47836, 福岡, 屋久島, ヤクシマ, 鹿児島県, 熊毛郡屋久島町, 屋久島特別地域気象観測所
47837, 福岡, 種子島, タネガシマ, 鹿児島県, 西之表市, 種子島特別地域気象観測所
47838, 福岡, 牛深, ウシブカ, 熊本県, 天草市, 牛深特別地域気象観測所
47843, 福岡, 福江, フクエ, 長崎県, 五島市, 福江特別地域気象観測所
47887, 大阪, 松山, マツヤマ, 愛媛県, 松山市, 松山地方気象台
47890, 大阪, 多度津, タドツ, 香川県, 仲多度郡多度津町, 多度津特別地域気象観測所
47891, 大阪, 高松, タカマツ, 香川県, 高松市, 高松地方気象台
47892, 大阪, 宇和島, ウワジマ, 愛媛県, 宇和島市, 宇和島特別地域気象観測所
47893, 大阪, 高知, コウチ, 高知県, 高知市, 高知地方気象台
47895, 大阪, 徳島, トクシマ, 徳島県, 徳島市, 徳島地方気象台
47897, 大阪, 宿毛, スクモ, 高知県, 宿毛市, 宿毛特別地域気象観測所
47898, 大阪, 清水, シミズ, 高知県, 土佐清水市, 清水特別地域気象観測所
47899, 大阪, 室戸岬, ムロトミサキ, 高知県, 室戸市, 室戸岬特別地域気象観測所
47909, 福岡, 名瀬, ナゼ, 鹿児島県, 奄美市, 名瀬測候所
47912, 沖縄, 与那国島, ヨナグニジマ, 沖縄県, 八重山郡与那国町, 与那国島特別地域気象観測所
47917, 沖縄, 西表島, イリオモテジマ, 沖縄県, 八重山郡竹富町, 西表島特別地域気象観測所
47918, 沖縄, 石垣島, イシガキジマ, 沖縄県, 石垣市, 石垣島地方気象台
47927, 沖縄, 宮古島, ミヤコジマ, 沖縄県, 宮古島市, 宮古島地方気象台
47929, 沖縄, 久米島, クメジマ, 沖縄県, 島尻郡久米島町, 久米島特別地域気象観測所
47936, 沖縄, 那覇, ナハ, 沖縄県, 那覇市, 沖縄気象台
47940, 沖縄, 名護, ナゴ, 沖縄県, 名護市, 名護特別地域気象観測所
47942, 沖縄, 沖永良部, オキノエラブ, 鹿児島県, 大島郡和泊町, 沖永良部特別地域気象観測所
47945, 沖縄, 南大東島, ミナミダイトウジマ, 沖縄県, 島尻郡南大東村, 南大東島地方気象台
47971, 東京, 父島, チチジマ, 東京都, 小笠原村, 父島気象観測所
47991, 東京, 南鳥島, ミナミトリシマ, 東京都, 小笠原村, 南鳥島気象観測所
